Pixel;q_xy(A^-1);Intensity
483.000000;-0.962571;2767.238000
484.000000;-0.960181;2807.143000
485.000000;-0.957790;2835.810000
486.000000;-0.955399;2899.381000
487.000000;-0.953007;2834.429000
488.000000;-0.950614;nan
489.000000;-0.948221;nan
490.000000;-0.945828;nan
491.000000;-0.943434;nan
492.000000;-0.941040;nan
493.000000;-0.938645;nan
494.000000;-0.936250;nan
495.000000;-0.933854;3037.333000
496.000000;-0.931458;3193.952000
497.000000;-0.929061;3152.048000
498.000000;-0.926664;3142.048000
499.000000;-0.924266;3128.619000
500.000000;-0.921868;3104.952000
501.000000;-0.919469;3090.095000
502.000000;-0.917070;3043.667000
503.000000;-0.914671;2999.857000
504.000000;-0.912271;2967.524000
505.000000;-0.909870;2909.333000
506.000000;-0.907469;2867.048000
507.000000;-0.905068;2787.095000
508.000000;-0.902666;2750.190000
509.000000;-0.900263;2712.286000
510.000000;-0.897861;2667.286000
511.000000;-0.895457;2653.333000
512.000000;-0.893054;2647.857000
513.000000;-0.890649;2640.095000
514.000000;-0.888245;2642.333000
515.000000;-0.885840;2628.476000
516.000000;-0.883434;2631.381000
517.000000;-0.881028;2612.000000
518.000000;-0.878622;2606.619000
519.000000;-0.876215;2614.333000
520.000000;-0.873807;2591.000000
521.000000;-0.871399;2580.048000
522.000000;-0.868991;2570.762000
523.000000;-0.866582;2565.381000
524.000000;-0.864173;2548.000000
525.000000;-0.861764;2542.429000
526.000000;-0.859354;2532.143000
527.000000;-0.856943;2511.000000
528.000000;-0.854532;2537.381000
529.000000;-0.852121;2491.238000
530.000000;-0.849709;2490.905000
531.000000;-0.847297;2476.667000
532.000000;-0.844884;2489.952000
533.000000;-0.842471;2471.667000
534.000000;-0.840057;2443.286000
535.000000;-0.837643;2428.619000
536.000000;-0.835229;2426.619000
537.000000;-0.832814;2408.048000
538.000000;-0.830398;2422.286000
539.000000;-0.827983;2422.381000
540.000000;-0.825567;2391.048000
541.000000;-0.823150;2382.048000
542.000000;-0.820733;2367.095000
543.000000;-0.818315;2374.857000
544.000000;-0.815898;2326.667000
545.000000;-0.813479;2342.476000
546.000000;-0.811061;2328.238000
547.000000;-0.808641;2309.810000
548.000000;-0.806222;2307.000000
549.000000;-0.803802;2295.238000
550.000000;-0.801381;2291.190000
551.000000;-0.798961;2302.619000
552.000000;-0.796539;2273.667000
553.000000;-0.794118;2286.524000
554.000000;-0.791696;2269.714000
555.000000;-0.789273;2270.000000
556.000000;-0.786850;2268.476000
557.000000;-0.784427;2274.048000
