q_z(A^-1);Intensity
0.616178;2456.921000
0.613742;2471.184000
0.611306;2487.421000
0.608869;2486.237000
0.606432;2492.803000
0.603994;2496.632000
0.601556;2507.395000
0.599118;2523.145000
0.596679;2532.711000
0.594240;2541.355000
0.591800;2553.789000
0.589360;2571.684000
0.586919;2580.566000
0.584478;2605.987000
0.582037;2619.697000
0.579595;2637.684000
0.577153;2683.395000
0.574710;2675.684000
0.572267;2701.289000
0.569824;2727.737000
0.567380;2800.408000
0.564936;2814.224000
0.562491;2853.276000
0.560046;2898.539000
0.557601;2949.513000
0.555155;3015.408000
0.552709;3065.960000
0.550262;3161.000000
0.547815;3250.132000
0.545368;3347.526000
0.542920;3461.737000
0.540472;3589.303000
0.538024;3739.303000
0.535575;3930.118000
0.533125;4144.053000
0.530676;4415.132000
0.528226;4729.632000
0.525776;5118.461000
0.523325;5566.132000
0.520874;6110.711000
0.518422;6702.934000
0.515970;7338.947000
0.513518;8023.842000
0.511066;8706.184000
0.508613;9321.961000
0.506160;9923.197000
0.503706;10466.830000
0.501252;10940.300000
0.498798;11383.950000
0.496343;11806.290000
0.493888;12224.290000
0.491432;12626.670000
0.488977;13056.030000
0.486521;13521.880000
0.484064;13937.200000
0.481607;14333.160000
0.479150;14656.760000
0.476693;14825.380000
0.474235;14869.280000
0.471777;14822.890000
0.469319;14345.880000
0.466860;13778.530000
0.464401;13059.660000
0.461941;12206.930000
0.459481;11294.820000
0.457021;10340.960000
0.454561;9424.934000
0.452100;8511.750000
0.449639;7675.882000
0.447178;6956.855000
0.444716;6314.684000
0.442254;5779.447000
0.439792;5301.618000
0.437329;4954.579000
0.434866;4637.000000
0.432403;4416.500000
0.429939;4230.974000
0.427476;4103.553000
0.425011;4023.842000
0.422547;3969.961000
0.420082;3975.750000
0.417617;3986.882000
0.415152;4002.513000
0.412686;4026.868000
0.410220;4092.276000
0.407754;4188.408000
0.405287;4347.947000
0.402821;4599.500000
0.400353;5008.355000
0.397886;5600.921000
0.395418;6377.697000
0.392950;7303.855000
0.390482;8209.447000
0.388014;8935.934000
0.385545;9342.737000
0.383076;9431.974000
0.380607;9214.947000
0.378137;8762.842000
0.375667;8194.171000
0.373197;7692.566000
0.370727;7247.579000
0.368256;6946.026000
0.365785;6764.461000
0.363314;6738.579000
0.360843;6803.289000
0.358371;6995.434000
0.355899;7255.184000
0.353427;7595.934000
0.350954;8033.553000
0.348482;8536.316000
0.346009;9127.368000
0.343535;9798.579000
0.341062;10608.530000
0.338588;11478.950000
0.336114;12441.680000
0.333640;12813.170000
0.331166;nan
0.328691;nan
0.326216;nan
0.323741;nan
0.321266;nan
0.318790;nan
0.316315;nan
0.313839;nan
0.311362;nan
0.308886;nan
0.306409;nan
0.303932;nan
0.301455;nan
0.298978;nan
0.296500;nan
0.294023;nan
0.291545;nan
0.289067;18348.670000
0.286588;18555.860000
0.284110;17845.430000
0.281631;17118.920000
0.279152;16406.820000
0.276673;15787.960000
0.274193;15160.540000
0.271714;14664.910000
0.269234;14193.660000
0.266754;13714.820000
0.264274;13348.720000
0.261794;13016.530000
0.259313;12704.010000
0.256833;12448.860000
0.254352;12179.870000
0.251871;11974.110000
0.249389;11780.640000
0.246908;11662.170000
0.244426;11508.550000
0.241945;11431.800000
0.239463;11361.120000
0.236981;11316.700000
0.234498;11274.720000
0.232016;11298.930000
0.229533;11307.200000
0.227051;11338.110000
0.224568;11420.170000
0.222085;11452.890000
0.219601;11553.870000
0.217118;11650.360000
0.214634;11767.950000
0.212151;11915.160000
0.209667;12076.170000
0.207183;12216.840000
0.204699;12440.780000
0.202214;12658.170000
0.199730;12904.220000
0.197245;13180.110000
0.194761;13395.070000
0.192276;13695.970000
0.189791;13974.110000
0.187306;14319.920000
0.184820;14695.260000
0.182335;15098.840000
0.179849;15551.540000
0.177364;16041.420000
0.174878;16437.740000
0.172392;16977.540000
0.169906;17623.180000
0.167420;18134.180000
0.164934;18797.830000
0.162447;19539.630000
0.159961;20234.380000
0.157474;21077.950000
0.154988;21882.740000
0.152501;22744.430000
0.150014;23872.880000
0.147527;24828.780000
0.145040;25962.660000
0.142552;27425.050000
0.140065;28364.420000
0.137578;30126.670000
0.135090;31693.880000
0.132602;32835.760000
0.130115;35208.800000
0.127627;36641.500000
0.125139;38500.620000
0.122651;41384.920000
0.120163;28245.910000
0.117675;8294.408000
0.115186;7592.947000
0.112698;7354.026000
0.110210;7271.158000
0.107721;6959.605000
0.105233;6483.158000
0.102744;6546.842000
0.100255;6555.947000
0.097766;6606.303000
0.095278;6648.908000
0.092789;6710.961000
0.090300;6721.197000
0.087811;6802.211000
0.085322;6846.066000
0.082832;6907.750000
0.080343;7009.855000
0.077854;7092.079000
0.075365;7138.461000
0.072875;7314.697000
0.070386;7449.645000
0.067896;7613.000000
0.065407;7781.829000
0.062917;8014.500000
0.060428;8283.487000
0.057938;8751.000000
0.055448;9315.224000
0.052959;9993.171000
0.050469;10089.800000
0.047979;10463.220000
0.045489;10833.800000
0.042999;11837.470000
0.040509;12692.030000
0.038019;13916.010000
0.035529;15314.470000
0.033040;18067.580000
0.030550;21879.680000
0.028060;30064.670000
0.025569;29870.500000
0.023079;22931.530000
0.020589;23335.740000
0.018099;25051.950000
0.015609;28325.990000
0.013119;31441.880000
0.010629;35873.240000
0.008139;42565.740000
0.005649;50147.800000
0.003159;57738.110000
0.000669;62577.500000
-0.001821;59878.930000
-0.004312;26056.720000
-0.006802;682.934200
-0.009292;650.289500
-0.011782;646.684200
-0.014272;640.460500
-0.016762;629.618400
-0.019252;628.144700
-0.021742;626.513200
-0.024232;615.657900
-0.026722;611.526300
-0.029212;606.052600
-0.031702;597.552600
-0.034192;594.881600
-0.036682;585.236800
-0.039172;581.934200
-0.041661;574.394700
-0.044151;567.000000
-0.046641;559.171100
-0.049131;557.605300
-0.051620;552.657900
