Pixel;q_z(A^-1);Intensity
452.000000;1.239600;3480.605000
453.000000;1.237328;3453.197000
454.000000;1.235056;3436.408000
455.000000;1.232782;3415.526000
456.000000;1.230508;3406.500000
457.000000;1.228234;3387.513000
458.000000;1.225958;3376.329000
459.000000;1.223682;3370.987000
460.000000;1.221404;3343.513000
461.000000;1.219126;3324.026000
462.000000;1.216848;3309.342000
463.000000;1.214568;3307.658000
464.000000;1.212288;3286.184000
465.000000;1.210007;3279.289000
466.000000;1.207725;3252.342000
467.000000;1.205442;3259.934000
468.000000;1.203159;3236.092000
469.000000;1.200875;3213.316000
470.000000;1.198590;3207.750000
471.000000;1.196304;3194.447000
472.000000;1.194018;3173.711000
473.000000;1.191730;3166.421000
474.000000;1.189442;3147.158000
475.000000;1.187154;3135.329000
476.000000;1.184864;3132.592000
477.000000;1.182574;3108.434000
478.000000;1.180283;3091.066000
479.000000;1.177991;3102.145000
480.000000;1.175698;3074.539000
481.000000;1.173405;3071.461000
482.000000;1.171111;3063.474000
483.000000;1.168816;3054.547000
484.000000;1.166520;3040.816000
485.000000;1.164224;3031.592000
486.000000;1.161927;3014.342000
487.000000;1.159629;3022.184000
488.000000;1.157330;2998.421000
489.000000;1.155031;2986.013000
490.000000;1.152730;2986.605000
491.000000;1.150430;2982.237000
492.000000;1.148128;2952.526000
493.000000;1.145826;2955.382000
494.000000;1.143522;2933.908000
495.000000;1.141218;2927.211000
496.000000;1.138914;2907.737000
497.000000;1.136608;2904.697000
498.000000;1.134302;2903.842000
499.000000;1.131995;2896.908000
500.000000;1.129688;2863.500000
501.000000;1.127380;2867.684000
502.000000;1.125070;2858.092000
503.000000;1.122761;2832.500000
504.000000;1.120450;2831.197000
505.000000;1.118139;2835.645000
506.000000;1.115827;2824.382000
507.000000;1.113514;2810.658000
508.000000;1.111201;2807.842000
509.000000;1.108887;2802.303000
510.000000;1.106572;2782.039000
511.000000;1.104256;2792.895000
512.000000;1.101940;2786.934000
513.000000;1.099623;2774.039000
514.000000;1.097305;2752.776000
515.000000;1.094986;2753.421000
516.000000;1.092667;2758.289000
517.000000;1.090347;2743.184000
518.000000;1.088026;2740.171000
519.000000;1.085705;2735.737000
520.000000;1.083383;2750.605000
521.000000;1.081060;2714.816000
522.000000;1.078736;2712.316000
523.000000;1.076412;2709.697000
524.000000;1.074087;2733.803000
525.000000;1.071762;2706.329000
526.000000;1.069435;2703.447000
527.000000;1.067108;2704.382000
528.000000;1.064780;2691.158000
529.000000;1.062452;2691.237000
530.000000;1.060123;2695.447000
531.000000;1.057793;2692.013000
532.000000;1.055462;2694.789000
533.000000;1.053131;2692.434000
534.000000;1.050799;2698.868000
535.000000;1.048466;2697.974000
536.000000;1.046133;2688.947000
537.000000;1.043799;2694.961000
538.000000;1.041464;2696.276000
539.000000;1.039129;2702.250000
540.000000;1.036793;2687.487000
541.000000;1.034456;2698.316000
542.000000;1.032118;2704.618000
543.000000;1.029780;2712.973000
544.000000;1.027441;2710.763000
545.000000;1.025102;2718.224000
546.000000;1.022762;2724.627000
547.000000;1.020421;2721.737000
548.000000;1.018079;2728.737000
549.000000;1.015737;2742.105000
550.000000;1.013394;2729.671000
551.000000;1.011050;2760.105000
552.000000;1.008706;2757.658000
553.000000;1.006361;2777.289000
554.000000;1.004015;2763.921000
555.000000;1.001669;2781.197000
556.000000;0.999322;2801.882000
557.000000;0.996975;2793.132000
558.000000;0.994626;2808.908000
559.000000;0.992277;2802.566000
560.000000;0.989928;2815.434000
561.000000;0.987577;2820.605000
562.000000;0.985227;2828.513000
563.000000;0.982875;2831.645000
564.000000;0.980523;2849.961000
565.000000;0.978170;2848.066000
566.000000;0.975816;2885.882000
567.000000;0.973462;2891.184000
568.000000;0.971107;2894.974000
569.000000;0.968752;2902.776000
570.000000;0.966395;2902.158000
571.000000;0.964039;2930.434000
572.000000;0.961681;2946.842000
573.000000;0.959323;2950.158000
574.000000;0.956964;2974.145000
575.000000;0.954605;2984.461000
576.000000;0.952245;2985.447000
577.000000;0.949884;3005.289000
578.000000;0.947523;3018.921000
579.000000;0.945161;3040.487000
580.000000;0.942798;3039.211000
581.000000;0.940435;3043.132000
582.000000;0.938071;3052.013000
583.000000;0.935707;3068.671000
584.000000;0.933342;3061.500000
585.000000;0.930976;3065.513000
586.000000;0.928609;3055.513000
587.000000;0.926242;3045.211000
588.000000;0.923875;3051.171000
589.000000;0.921507;3038.105000
590.000000;0.919138;3037.513000
591.000000;0.916768;3034.368000
592.000000;0.914398;3027.395000
593.000000;0.912027;3003.895000
594.000000;0.909656;2995.789000
595.000000;0.907284;2976.184000
596.000000;0.904911;2953.184000
597.000000;0.902538;2935.961000
598.000000;0.900165;2920.158000
599.000000;0.897790;2889.737000
600.000000;0.895415;2883.079000
601.000000;0.893039;2848.566000
602.000000;0.890663;2836.513000
603.000000;0.888286;2815.197000
604.000000;0.885909;2781.132000
605.000000;0.883531;2754.487000
606.000000;0.881152;2735.605000
607.000000;0.878773;2720.145000
608.000000;0.876393;2686.421000
609.000000;0.874013;2669.105000
610.000000;0.871632;2653.776000
611.000000;0.869250;2637.250000
612.000000;0.866868;2625.000000
613.000000;0.864485;2602.763000
614.000000;0.862102;2587.053000
615.000000;0.859718;2568.276000
616.000000;0.857333;2556.237000
617.000000;0.854948;2558.145000
618.000000;0.852563;2521.421000
619.000000;0.850176;2395.434000
620.000000;0.847789;nan
621.000000;0.845402;nan
622.000000;0.843014;nan
623.000000;0.840625;nan
624.000000;0.838236;nan
625.000000;0.835846;nan
626.000000;0.833456;nan
627.000000;0.831065;nan
628.000000;0.828674;nan
629.000000;0.826282;nan
630.000000;0.823889;nan
631.000000;0.821496;nan
632.000000;0.819102;nan
633.000000;0.816708;nan
634.000000;0.814313;nan
635.000000;0.811918;nan
636.000000;0.809522;nan
637.000000;0.807125;2335.579000
638.000000;0.804728;2443.289000
639.000000;0.802331;2446.434000
640.000000;0.799932;2442.776000
641.000000;0.797534;2376.803000
642.000000;0.795134;2454.842000
643.000000;0.792735;2458.382000
644.000000;0.790334;2467.171000
645.000000;0.787933;2501.184000
646.000000;0.785532;2499.632000
647.000000;0.783130;2527.908000
648.000000;0.780728;2558.368000
649.000000;0.778324;2575.158000
650.000000;0.775921;2590.237000
651.000000;0.773517;2600.645000
652.000000;0.771112;2592.776000
653.000000;0.768707;2595.868000
654.000000;0.766301;2583.539000
655.000000;0.763895;2572.934000
656.000000;0.761488;2570.566000
657.000000;0.759081;2555.566000
