Pixel;q_z(A^-1);Intensity
562.000000;1.039347;2828.513000
563.000000;1.037011;2831.645000
564.000000;1.034674;2849.961000
565.000000;1.032337;2848.066000
566.000000;1.029999;2885.882000
567.000000;1.027660;2891.184000
568.000000;1.025320;2894.974000
569.000000;1.022980;2902.776000
570.000000;1.020639;2902.158000
571.000000;1.018298;2930.434000
572.000000;1.015956;2946.842000
573.000000;1.013613;2950.158000
574.000000;1.011269;2974.145000
575.000000;1.008925;2984.461000
576.000000;1.006580;2985.447000
577.000000;1.004235;3005.289000
578.000000;1.001888;3018.921000
579.000000;0.999541;3040.487000
580.000000;0.997194;3039.211000
581.000000;0.994846;3043.132000
582.000000;0.992497;3052.013000
583.000000;0.990147;3068.671000
584.000000;0.987797;3061.500000
585.000000;0.985446;3065.513000
586.000000;0.983095;3055.513000
587.000000;0.980742;3045.211000
588.000000;0.978390;3051.171000
589.000000;0.976036;3038.105000
590.000000;0.973682;3037.513000
591.000000;0.971327;3034.368000
592.000000;0.968972;3027.395000
593.000000;0.966615;3003.895000
594.000000;0.964259;2995.789000
595.000000;0.961901;2976.184000
596.000000;0.959543;2953.184000
597.000000;0.957185;2935.961000
598.000000;0.954825;2920.158000
599.000000;0.952465;2889.737000
600.000000;0.950105;2883.079000
601.000000;0.947743;2848.566000
602.000000;0.945381;2836.513000
603.000000;0.943019;2815.197000
604.000000;0.940656;2781.132000
605.000000;0.938292;2754.487000
606.000000;0.935928;2735.605000
607.000000;0.933562;2720.145000
608.000000;0.931197;2686.421000
609.000000;0.928830;2669.105000
610.000000;0.926464;2653.776000
611.000000;0.924096;2637.250000
612.000000;0.921728;2625.000000
613.000000;0.919359;2602.763000
614.000000;0.916990;2587.053000
615.000000;0.914619;2568.276000
616.000000;0.912249;2556.237000
617.000000;0.909878;2558.145000
618.000000;0.907506;2521.421000
619.000000;0.905133;2395.434000
620.000000;0.902760;nan
621.000000;0.900386;nan
622.000000;0.898012;nan
623.000000;0.895637;nan
624.000000;0.893261;nan
625.000000;0.890885;nan
626.000000;0.888508;nan
627.000000;0.886131;nan
628.000000;0.883753;nan
629.000000;0.881375;nan
630.000000;0.878995;nan
631.000000;0.876616;nan
632.000000;0.874235;nan
633.000000;0.871854;nan
634.000000;0.869473;nan
635.000000;0.867091;nan
636.000000;0.864708;nan
637.000000;0.862324;2335.579000
638.000000;0.859941;2443.289000
639.000000;0.857556;2446.434000
640.000000;0.855171;2442.776000
641.000000;0.852785;2376.803000
642.000000;0.850399;2454.842000
643.000000;0.848012;2458.382000
644.000000;0.845625;2467.171000
645.000000;0.843237;2501.184000
