#qz(nm-1)	#refl	#err_refl	#twotheta(deg)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl
4.3553067e-01	6.1413036e-03	3.6802664e-05	4.9247539e-01	-1.2311885e-01	5.7000000e+01	7.5464959e-05	9.8735134e-05	1.0438957e-06	9.5690438e-07	8.7100047e-05
4.5505759e-01	5.0421067e-03	3.3619812e-05	5.1455556e-01	-1.2863889e-01	5.8000000e+01	1.0737532e-04	6.7222908e-05	6.4761954e-07	9.0666735e-07	8.7299114e-05
4.7411234e-01	4.3261917e-03	3.1044507e-05	5.3610183e-01	-1.3402546e-01	5.8000000e+01	8.1986336e-05	6.0896742e-05	4.7440805e-07	3.4502403e-07	7.1441539e-05
4.9259374e-01	3.7504536e-03	2.8701827e-05	5.5699981e-01	-1.3924995e-01	5.7000000e+01	3.7736562e-05	7.5084977e-05	6.0378500e-07	7.3316750e-07	5.6410770e-05
5.1168218e-01	3.2030349e-03	2.6606115e-05	5.7858422e-01	-1.4464605e-01	5.8000000e+01	6.2928671e-05	3.8738580e-05	3.8738580e-07	5.1651440e-07	5.0833625e-05
5.3104040e-01	2.7764581e-03	2.4661845e-05	6.0047371e-01	-1.5011843e-01	5.8000000e+01	4.6774897e-05	3.4726166e-05	6.0243658e-07	4.7334303e-07	4.0750531e-05
5.3110785e-01	2.7610869e-03	2.4614209e-05	6.0054998e-01	-1.5013750e-01	5.8000000e+01	4.6468457e-05	3.5711870e-05	6.4539524e-07	6.0236889e-07	4.1090164e-05
5.7420849e-01	2.0301444e-03	2.1160565e-05	6.4928651e-01	-1.6232163e-01	5.8000000e+01	2.6860399e-05	3.3434925e-05	4.3253461e-07	2.5952077e-07	3.0147662e-05
6.1629727e-01	1.5755868e-03	1.8739632e-05	6.9687899e-01	-1.7421975e-01	5.8000000e+01	2.4772554e-05	2.2766326e-05	2.6168191e-07	4.3613651e-07	2.3769440e-05
6.5926280e-01	1.2204770e-03	1.6673229e-05	7.4546298e-01	-1.8636574e-01	5.8000000e+01	2.0448059e-05	2.1237898e-05	1.7551982e-07	4.8267949e-07	2.0842978e-05
7.0212703e-01	9.3260640e-04	1.4699341e-05	7.9393256e-01	-1.9848314e-01	5.8000000e+01	1.2755409e-05	2.1524752e-05	8.8579228e-08	3.5431691e-07	1.7140081e-05
7.4499114e-01	7.2799455e-04	1.3197702e-05	8.4240215e-01	-2.1060054e-01	5.8000000e+01	1.0211627e-05	2.0288299e-05	2.2492571e-07	1.3495543e-07	1.5249963e-05
7.8640495e-01	5.9780489e-04	8.5984331e-06	8.8923193e-01	-2.2230798e-01	5.8000000e+01	1.0475634e-05	1.5100638e-05	1.6187514e-07	2.5437522e-07	1.2788136e-05
8.2970721e-01	4.7425704e-04	7.6427743e-06	9.3819727e-01	-2.3454932e-01	5.8000000e+01	7.4538519e-06	1.4176037e-05	1.6005203e-07	1.8291661e-07	1.0814945e-05
8.7300931e-01	3.8236163e-04	4.8632989e-06	9.8716261e-01	-2.4679065e-01	5.8000000e+01	5.0297265e-06	1.4087786e-05	1.4793313e-07	1.2517419e-07	9.5587563e-06
9.1536698e-01	3.1132362e-04	4.5426002e-06	1.0350602e+00	-2.5876504e-01	5.8000000e+01	4.9929883e-06	1.1990373e-05	1.2002376e-07	8.4016630e-08	8.4916808e-06
9.5758959e-01	2.5327765e-04	4.2739029e-06	1.0828052e+00	-2.7070130e-01	5.8000000e+01	5.1853932e-06	1.0153128e-05	1.1523096e-07	5.1213760e-08	7.6692606e-06
1.0005540e+00	2.0768154e-04	2.7105636e-06	1.1313892e+00	-2.8284729e-01	5.8000000e+01	3.8213909e-06	8.4449580e-06	1.3895967e-07	1.1369427e-07	6.1331744e-06
1.0434507e+00	1.6981983e-04	2.4678723e-06	1.1798969e+00	-2.9497422e-01	5.8000000e+01	3.2307793e-06	7.0860484e-06	8.2840494e-08	5.7351111e-08	5.1584138e-06
1.0861112e+00	1.3806486e-04	2.2805826e-06	1.2281377e+00	-3.0703442e-01	5.8000000e+01	3.2834203e-06	5.8430406e-06	2.6320002e-08	9.8700009e-08	4.5632304e-06
1.1285692e+00	1.1200205e-04	1.4759975e-06	1.2761496e+00	-3.1903741e-01	5.8000000e+01	2.7333722e-06	4.6789899e-06	4.7536908e-08	6.1118881e-08	3.7061810e-06
1.1712630e+00	9.0550814e-05	1.3462922e-06	1.3244285e+00	-3.3110714e-01	5.8000000e+01	2.4079244e-06	3.7456602e-06	4.8644938e-08	9.3815237e-08	3.0767923e-06
1.2142264e+00	7.3823323e-05	1.2271075e-06	1.3730125e+00	-3.4325313e-01	5.8000000e+01	2.0946775e-06	3.1209289e-06	5.9747512e-08	6.3262072e-08	2.6078032e-06
1.2571896e+00	5.8847075e-05	7.7403032e-07	1.4215965e+00	-3.5539913e-01	5.8000000e+01	1.5332462e-06	2.7111854e-06	6.6510681e-08	6.3010119e-08	2.1222158e-06
1.2990734e+00	4.7560042e-05	7.2538161e-07	1.4689602e+00	-3.6724005e-01	5.8000000e+01	1.5843264e-06	1.9057291e-06	4.5374503e-08	4.7265107e-08	1.7450278e-06
1.3418338e+00	3.7707188e-05	4.5898245e-07	1.5173154e+00	-3.7932884e-01	5.8000000e+01	1.2972254e-06	1.5824445e-06	5.3064006e-08	5.1168863e-08	1.4398349e-06
1.3853358e+00	2.9671435e-05	4.0893231e-07	1.5665095e+00	-3.9162738e-01	5.8000000e+01	9.2260346e-07	1.5705890e-06	3.5737953e-08	3.6678425e-08	1.2465962e-06
1.4281632e+00	2.3073732e-05	3.7059483e-07	1.6149410e+00	-4.0373525e-01	5.8000000e+01	7.7782154e-07	1.2405761e-06	4.3321706e-08	4.2337122e-08	1.0091988e-06
1.4699786e+00	1.8085567e-05	2.4098030e-07	1.6622284e+00	-4.1555709e-01	5.8000000e+01	6.9731980e-07	8.4754454e-07	4.5813218e-08	3.3560846e-08	7.7243217e-07
