q_z(A^-1);Intensity
0.633445;2452.276000
0.631012;2421.737000
0.628579;2424.658000
0.626145;2428.105000
0.623711;2448.789000
0.621276;2429.000000
0.618841;2440.895000
0.616406;2435.684000
0.613970;2455.816000
0.611533;2455.579000
0.609097;2459.813000
0.606660;2465.566000
0.604222;2477.658000
0.601784;2485.434000
0.599345;2486.684000
0.596907;2501.803000
0.594467;2510.487000
0.592028;2528.118000
0.589588;2541.618000
0.587147;2554.645000
0.584706;2583.513000
0.582265;2596.908000
0.579823;2610.105000
0.577381;2640.697000
0.574938;2659.671000
0.572495;2685.618000
0.570052;2712.487000
0.567608;2738.829000
0.565164;2767.013000
0.562719;2795.816000
0.560274;2865.434000
0.557829;2901.421000
0.555383;2966.987000
0.552937;3019.737000
0.550491;3105.092000
0.548044;3182.342000
0.545596;3283.526000
0.543149;3395.697000
0.540701;3527.934000
0.538252;3690.184000
0.535803;3870.579000
0.533354;4097.158000
0.530905;4361.276000
0.528455;4692.107000
0.526004;5058.079000
0.523554;5507.158000
0.521103;6043.303000
0.518651;6600.026000
0.516199;7261.263000
0.513747;7927.250000
0.511295;8624.079000
0.508842;9285.355000
0.506389;9909.947000
0.503935;10498.780000
0.501481;10980.300000
0.499027;11450.120000
0.496572;11884.740000
0.494117;12311.430000
0.491662;12695.920000
0.489206;13144.120000
0.486750;13563.720000
0.484294;14024.300000
0.481837;14436.550000
0.479380;14757.360000
0.476922;15017.670000
0.474465;15085.720000
0.472007;15021.930000
0.469548;14690.420000
0.467089;14229.210000
0.464630;13563.110000
0.462171;12721.090000
0.459711;11786.790000
0.457251;10832.620000
0.454791;9853.592000
0.452330;8904.658000
0.449869;8028.816000
0.447408;7233.447000
0.444946;6550.829000
0.442484;5934.105000
0.440022;5429.895000
0.437559;5010.618000
0.435096;4663.289000
0.432633;4403.658000
0.430169;4196.039000
0.427706;4046.039000
0.425242;3951.276000
0.422777;3905.513000
0.420312;3883.487000
0.417847;3900.750000
0.415382;3938.539000
0.412916;3969.382000
0.410450;4018.579000
0.407984;4129.947000
0.405518;4250.697000
0.403051;4486.184000
0.400584;4837.461000
0.398117;5376.882000
0.395649;6117.658000
0.393181;7059.671000
0.390713;7587.434000
0.388244;nan
0.385776;nan
0.383307;nan
0.380837;nan
0.378368;nan
0.375898;nan
0.373428;nan
0.370957;nan
0.368487;nan
0.366016;nan
0.363545;nan
0.361073;nan
0.358602;nan
0.356130;nan
0.353658;nan
0.351185;nan
0.348713;nan
0.346240;9071.737000
0.343766;10433.430000
0.341293;11303.330000
0.338819;12272.450000
0.336345;13354.660000
0.333871;14475.790000
0.331397;15732.260000
0.328922;17078.090000
0.326448;18431.860000
0.323972;19784.080000
0.321497;21150.990000
0.319022;22334.800000
0.316546;23403.470000
0.314070;24240.820000
0.311594;24794.130000
0.309117;25134.320000
0.306641;25198.500000
0.304164;24949.550000
0.301687;24527.580000
0.299209;23875.720000
0.296732;23063.780000
0.294254;22174.240000
0.291776;21196.130000
